"","year","MDS1","MDS2","MDS3"
"1","1982",-0.746747431134585,-0.586979521965226,-1.62665175649689
"2","1983",-0.898785951528339,-0.87808817307691,-0.937228230334161
"3","1984",-0.751195791117525,-0.424917832037611,-0.222071426618578
"4","1985",-0.768396739237257,-1.01224283256998,-1.55628099433016
"5","1986",-0.793344330275469,-0.72472958714316,0.0339391732946196
"6","1987",-0.696965064696572,-0.461048846983452,-0.43724333423447
"7","1988",-0.867618219562823,-0.597352050614091,0.234733118667192
"8","1989",-0.822348794268482,0.0689711854729663,0.018447308046236
"9","1990",-0.909927426868821,-0.32871560453675,0.143236745566109
"10","1991",-0.702588922714566,-0.106678060280979,0.697078669284744
"11","1992",-0.574044962563073,0.445896297396555,0.250356970948914
"12","1993",-0.571751308415909,0.497981659666368,0.775143056948416
"13","1994",-0.677390597340889,0.397658303134488,0.812197179099254
"14","1995",-0.464845137189991,0.634010529426954,1.1891158198545
"15","1996",-0.525261567337202,0.524318670445677,0.430616228267699
"16","1997",-0.274834078240426,0.436142201828879,1.09194185186227
"17","1998",-0.458699459116058,1.05548611361895,0.307508674259317
"18","1999",-0.450445887891387,0.545542097835056,0.470241523098485
"19","2000",-0.394050048844902,0.152775764077806,0.869239440196509
"20","2001",0.34889203803804,0.0214082440517516,-0.716778099525261
"21","2002",0.157118027429921,0.425628031050839,-0.534009372005195
"22","2003",0.483887570173192,0.625648331447334,-0.850462385677803
"23","2004",0.496604800307433,1.17618399823693,-1.18923525268421
"24","2005",0.611650540725195,1.01652421260226,-0.803719505572356
"25","2006",0.522015946327009,0.959471218656261,-0.417486378678034
"26","2007",0.395122658933124,0.932953513793293,-0.74993319979822
"27","2008",0.459994194008641,1.06013833129,-0.309438085396263
"28","2009",0.759100786731342,0.347785781416462,0.311817985162128
"29","2010",0.663704423528208,-0.0611206450072294,0.00493601882585202
"30","2011",0.830910190122033,0.0737983711424453,-0.075382602105981
"31","2012",0.939845575867735,-0.568002524890027,0.565515668729688
"32","2013",0.894754205613041,-0.616743519005134,0.243903056483384
"33","2014",0.943596614780216,-0.913289757479378,0.451154734730522
"34","2015",0.881748796131451,-0.786726971829609,0.299626759070357
"35","2016",0.96888530977819,-0.786066365713631,0.293285004614269
"36","2017",0.672380959428627,-0.684760739383206,0.620151858676781
"37","2018",0.819009795728714,-0.619227542916869,0.198086308828403
"38","2019",0.500019284692165,-1.24163228115802,0.113647468941933
